Name,Stars,Title,Description,Date
JANICE,5.0 out of 5 stars,This case is not worth the money.,"I usually have an iphone case for the life of the iPhone. I purchased this silicone case and it started to deteriorate quickly. First the corners start cracking and crumbling. Then other places around the edge start doing the same. I would take a picture, but I’m afraid if I took it off my phone it would totally disintegrate. Plus the charging magnet is temperamental. I would recommend staying away from this set.","Reviewed in the United States on October 22, 2021"
Brandon S.,5.0 out of 5 stars,Well worth it,"I’ve had dozens of cases throughout the years but this one is probably my favorite. Thin, sleek, comfortable and durable.","Reviewed in the United States on January 13, 2024"
Vadym,5.0 out of 5 stars,Good quality,Nice touch,"Reviewed in the United States on February 8, 2024"
tim cadle,5.0 out of 5 stars,Great Value For This iPhone Case!,"I was a little hesitant about buying this case considering the price-point, but I figured I’d give it a try after it went on sale. I am so glad that I did! The fit is absolutely perfect, the texture is perfect for griping but not being too sticky, and it cleans very easily. I got white concrete dust all over my hands, and I had to use my phone, so I got that dust all over the case while I was holding it. It wiped right off with a cloth, none of it stuck to the case, which I thought was very impressive with how sticky that dust can be. I’ve gotten it on tool handles, and other things where it actually stuck to it. So definitely good on the ease of cleaning. Also, if anyone is curious, this case’s silicone material matches the feel of the silicone on the iPad Magic Keyboard Case, and it also perfectly color matches with the black one. And the magsafe capabilities are awesome! I would highly recommend this case. 👍🏻","Reviewed in the United States on October 5, 2023"
Nancie,4.0 out of 5 stars,"I love this case, it's protected my phone but ...","This is my second case. I love this case, it's protected my phone, but ... each time the phone is dropped another chunk of silicone breaks or peels off the case. The color is great, the feel is great, not too sticky or slippery, nice feel in my hand, slim. I understand silicone and there is a fine balance between how hard to make it vs look and feel. For me the look and feel of the product when I am carrying it was more important so I bought another one and know it will only last me a year or so.","Reviewed in the United States on December 17, 2022"
booklover,5.0 out of 5 stars,Apple quality,"Spoke quality
No surprises
Used price good buy","Reviewed in the United States on February 18, 2024"
Kevin S.,5.0 out of 5 stars,Great Phone Case,"Great Phone case! Looks great, feels great, and I got it at a great price. Highly recommend getting a name brand or quality phone case. It makes all the difference","Reviewed in the United States on December 26, 2023"
elyeager,1.0 out of 5 stars,A real heart breaker,"I bought this case in January. Let me tell you that I didn't just want to love this case -- I actually loved it. I loved the hand-feel, I loved the mag-safe, I loved the bright color. I convinced my husband and several friends to buy the same silicone case.

Fast forward 9 months and this case is garbage.

First, I dropped my phone once in July. My entire back glass is shattered. Fast forward a few weeks and I started to notice cracking around the edges of the phone. 3 out of 4 corners now have cracked and ripped pieces.

I haven't been especially hard on this phone or case. And I've never had a case respond so poorly to regular use, or need to be replaced in nine months.","Reviewed in the United States on September 3, 2023"
Avery Olson,4.0 out of 5 stars,Pretty good!,"It's a pretty good phone case, but I do have a few tings to mention. I was very disappointed as the magnet on the case isn't very strong. I saw complaints about others cases starting to wear really fast and I don't have very much of that yet (I've had it for a few weeks now) and I hope I don't get any wear anytime soon. Paying 50$ for a name brand phone case is insane so I shouldn't experience wear and tear after a month like others complained of.","Reviewed in the United States on January 21, 2024"
Maggie,4.0 out of 5 stars,Ordering from Amazon is just the greatest way to go.,Too bulky for me. Will reorder when I have time,"Reviewed in the United States on January 13, 2024"
JANICE,5.0 out of 5 stars,This case is not worth the money.,"I usually have an iphone case for the life of the iPhone. I purchased this silicone case and it started to deteriorate quickly. First the corners start cracking and crumbling. Then other places around the edge start doing the same. I would take a picture, but I’m afraid if I took it off my phone it would totally disintegrate. Plus the charging magnet is temperamental. I would recommend staying away from this set.","Reviewed in the United States on October 22, 2021"
Brandon S.,5.0 out of 5 stars,Well worth it,"I’ve had dozens of cases throughout the years but this one is probably my favorite. Thin, sleek, comfortable and durable.","Reviewed in the United States on January 13, 2024"
Vadym,5.0 out of 5 stars,Good quality,Nice touch,"Reviewed in the United States on February 8, 2024"
tim cadle,5.0 out of 5 stars,Great Value For This iPhone Case!,"I was a little hesitant about buying this case considering the price-point, but I figured I’d give it a try after it went on sale. I am so glad that I did! The fit is absolutely perfect, the texture is perfect for griping but not being too sticky, and it cleans very easily. I got white concrete dust all over my hands, and I had to use my phone, so I got that dust all over the case while I was holding it. It wiped right off with a cloth, none of it stuck to the case, which I thought was very impressive with how sticky that dust can be. I’ve gotten it on tool handles, and other things where it actually stuck to it. So definitely good on the ease of cleaning. Also, if anyone is curious, this case’s silicone material matches the feel of the silicone on the iPad Magic Keyboard Case, and it also perfectly color matches with the black one. And the magsafe capabilities are awesome! I would highly recommend this case. 👍🏻","Reviewed in the United States on October 5, 2023"
Nancie,4.0 out of 5 stars,"I love this case, it's protected my phone but ...","This is my second case. I love this case, it's protected my phone, but ... each time the phone is dropped another chunk of silicone breaks or peels off the case. The color is great, the feel is great, not too sticky or slippery, nice feel in my hand, slim. I understand silicone and there is a fine balance between how hard to make it vs look and feel. For me the look and feel of the product when I am carrying it was more important so I bought another one and know it will only last me a year or so.","Reviewed in the United States on December 17, 2022"
booklover,5.0 out of 5 stars,Apple quality,"Spoke quality
No surprises
Used price good buy","Reviewed in the United States on February 18, 2024"
Kevin S.,5.0 out of 5 stars,Great Phone Case,"Great Phone case! Looks great, feels great, and I got it at a great price. Highly recommend getting a name brand or quality phone case. It makes all the difference","Reviewed in the United States on December 26, 2023"
elyeager,1.0 out of 5 stars,A real heart breaker,"I bought this case in January. Let me tell you that I didn't just want to love this case -- I actually loved it. I loved the hand-feel, I loved the mag-safe, I loved the bright color. I convinced my husband and several friends to buy the same silicone case.

Fast forward 9 months and this case is garbage.

First, I dropped my phone once in July. My entire back glass is shattered. Fast forward a few weeks and I started to notice cracking around the edges of the phone. 3 out of 4 corners now have cracked and ripped pieces.

I haven't been especially hard on this phone or case. And I've never had a case respond so poorly to regular use, or need to be replaced in nine months.","Reviewed in the United States on September 3, 2023"
Avery Olson,4.0 out of 5 stars,Pretty good!,"It's a pretty good phone case, but I do have a few tings to mention. I was very disappointed as the magnet on the case isn't very strong. I saw complaints about others cases starting to wear really fast and I don't have very much of that yet (I've had it for a few weeks now) and I hope I don't get any wear anytime soon. Paying 50$ for a name brand phone case is insane so I shouldn't experience wear and tear after a month like others complained of.","Reviewed in the United States on January 21, 2024"
Maggie,4.0 out of 5 stars,Ordering from Amazon is just the greatest way to go.,Too bulky for me. Will reorder when I have time,"Reviewed in the United States on January 13, 2024"
